Country,Crop_Group,Year,Production,Area,Yield,Yield_kg/ha,Avg_Temp,Total_Rain,Population,Population_Unit,Temp_norm,Rain_norm,Rain_risk,Risk_Score,Risk_Level,Production_kg,Production_per_capita
Thailand,Pulse,2024,215891.32,225415.0,0.9577504602621831,957.7504602621831,27.495,50.873333333333335,71668011.0,people,0.9620010685570571,0.33091811305426566,0.6690818869457343,0.8155414777513957,High,215891320.0,3.0123805166017514
Thailand,Root,2010,22456685.0,1217990.0,18.43749538173548,18437.49538173548,26.93527777777778,46.60666666666666,68579447.0,people,0.9444958452242885,0.3028137316251139,0.6971862683748862,0.8208410567995874,High,22456685000.0,327.45503182608047
Thailand,Root,2011,22388529.63,1168790.0,19.155305598097176,19155.305598097177,25.42833333333333,51.79666666666667,69007208.0,people,0.8973663977899112,0.337000076847918,0.662999923152082,0.7801831604709966,High,22388529630.0,324.4375519438491
Thailand,Root,2012,30327651.0,1395192.0,21.737259818003544,21737.259818003546,26.56833333333333,43.196666666666665,69436098.0,people,0.9330197161808207,0.28035218302978404,0.719647816970216,0.8263337665755184,High,30327651000.0,436.7706693426235
Thailand,Root,2013,30681702.0,1417121.0,21.65072848401795,21650.72848401795,26.407777777777778,47.78,69845114.0,people,0.9279983667583194,0.3105424365181306,0.6894575634818694,0.8087279651200944,High,30681702000.0,439.2820090464739
Thailand,Root,2014,30484734.51,1381268.0,22.070108414876767,22070.108414876766,26.520555555555557,37.233333333333334,70216367.0,people,0.931525473792118,0.24107191867294625,0.7589280813270538,0.8452267775595859,High,30484734510.0,434.15425508984254
Thailand,Root,2015,32861927.19,1468740.0,22.374230421994362,22374.23042199436,27.078333333333333,37.943333333333335,70540795.0,people,0.9489698849346487,0.24574866339514104,0.754251336604859,0.8516106107697539,High,32861927190.0,465.8570574658253
Thailand,Root,2016,31647886.0,1448537.0,21.848172328356128,21848.17232835613,26.89638888888889,45.693333333333335,70859841.0,people,0.9432796014195304,0.29679763747543614,0.7032023625245638,0.8232409819720471,High,31647886000.0,446.6265454928131
Thailand,Root,2017,30984197.5,1427439.0,21.70614471091234,21706.14471091234,26.000555555555554,57.870000000000005,71160187.0,people,0.9152625566313521,0.37700490728847613,0.6229950927115239,0.7691288246714381,High,30984197500.0,435.41478467446973
Thailand,Root,2018,29855340.59,1365499.0,21.864051595790258,21864.051595790257,26.02611111111111,46.13333333333333,71376079.0,people,0.9160618025601932,0.2996959018103174,0.7003040981896826,0.8081829503749379,High,29855340590.0,418.28216131065426
Thailand,Root,2019,31587017.15,1421147.0,22.22642495815,22226.42495815,27.19361111111111,37.236666666666665,71522271.0,people,0.9525751790701816,0.24109387522093775,0.7589061247790623,0.855740651924622,High,31587017150.0,441.6389008397119
Thailand,Root,2020,29520094.06,1461622.0,20.196804686847898,20196.8046868479,26.875,50.056666666666665,71641484.0,people,0.9426106673269133,0.32553875879634203,0.6744612412036579,0.8085359542652857,High,29520094060.0,412.05307891165404
Thailand,Root,2021,35598411.6,1698783.0,20.955243606746713,20955.243606746713,25.985,55.06666666666666,71727332.0,people,0.9147760591094489,0.35853945042760377,0.6414605495723962,0.7781183043409226,High,35598411600.0,496.30190622453375
Thailand,Root,2022,34564616.27,1620964.0,21.32349408746894,21323.494087468942,25.845,61.07,71735329.0,people,0.9103975814123197,0.3980831933603399,0.6019168066396601,0.7561571940259899,High,34564616270.0,481.8353348598987
Thailand,Root,2023,31125022.98,1516966.0,20.51794369814485,20517.943698144853,26.8625,41.89,71702435.0,people,0.9422197318182411,0.27174521621710634,0.7282547837828937,0.8352372578005673,High,31125022980.0,434.08599693999236
Thailand,Root,2024,29129727.61,1453846.0,20.036322698552667,20036.322698552667,27.495,50.873333333333335,71668011.0,people,0.9620010685570571,0.33091811305426566,0.6690818869457343,0.8155414777513957,High,29129727610.0,406.4536911733186
Thailand,SugarCrop,2010,68807800.0,1009583.0,68.15467376134504,68154.67376134504,26.93527777777778,46.60666666666666,68579447.0,people,0.9444958452242885,0.3028137316251139,0.6971862683748862,0.8208410567995874,High,68807800000.0,1003.3297585499632
Thailand,SugarCrop,2011,95950416.0,1259240.0,76.19708395540167,76197.08395540167,25.42833333333333,51.79666666666667,69007208.0,people,0.8973663977899112,0.337000076847918,0.662999923152082,0.7801831604709966,High,95950416000.0,1390.4404884776675
